	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0362	tc0362	DUFRESNY_FAUXHONNETEHOMME	DUFRESNY	1703	comedie	comedie	other	other	prose	moeurs françaises	Trois actes	1
tc0363	tc0363	DUFRESNY_FAUXINSTINCT	DUFRESNY	1707	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0364	tc0364	DUFRESNY_FAUXSINCERE	DUFRESNY	1731	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0365	tc0365	DUFRESNY_JALOUXHONTEUX	DUFRESNY	1699	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0366	tc0366	DUFRESNY_JOUEUSE	DUFRESNY	1699	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0367	tc0367	DUFRESNY_MALADESANSMALADIE	DUFRESNY	1699	comedie	comedie	other	other	prose	moeurs françaises	Cinq actes	1
tc0369	tc0369	DUFRESNY_MARIAGEFAITETROMPU	DUFRESNY	1721	comedie	comedie	other	other	vers	moeurs françaises	Trois actes	1
tc0372	tc0372	DUFRESNY_RECONCILIATIONNORMANDE	DUFRESNY	1719	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0390	tc0390	DURYER_ALCIONEE	DURYER	1640	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0398	tc0398	DURYER_ESTHER	DURYER	1644	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0400	tc0400	DURYER_LUCRECE	DURYER	1638	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0402	tc0402	DURYER_SAUL	DURYER	1642	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
tc0403	tc0403	DURYER_SCEVOLE	DURYER	1647	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0404	tc0404	DURYER_THEMISTOCLE	DURYER	1647	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0405	tc0405	DURYER_VENDANGESDESURESNES	DURYER	1636	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0419	tc0419	FENELON_ALEXANDRE	FENELON	1754	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0425	tc0425	FOLARD_THEMISTOCLE	FOLARD	1729	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0433	tc0433	GENEST_PENELOPE	GENEST	1684	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0437	tc0437	GILLET_CAMPAGNARD	GILLET	1657	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0438	tc0438	GILLET_DENIAISE	GILLET	1647	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0444	tc0444	GRESSET_EDOUARDIII	GRESSET	1673	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0445	tc0445	GUDIN_LOTHAIRE	GUDIN	1759	tragedie	other	tragedie	other	vers	histoire française	Cinq actes	1
tc0451	tc0451	GUEULLETTE_ARLEQUINPLUTON	GUEULLETTE	1719	comedie	comedie	other	other	prose	mythe grec	Trois actes	1
tc0464	tc0464	HAREN_AGON	HAREN	1770	tragedie	other	tragedie	other	vers	Histoire hollandaise	Cinq actes	1
tc0468	tc0468	HENAULT_MARIUSACIRTE	HENAULT	1677	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0480	tc0480	LACALPRENEDE_COMTEDESSEX	LACALPRENEDE	1732	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0482	tc0482	LACALPRENEDE_ENFANTSDHERODE	LACALPRENEDE	1639	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0483	tc0483	LACALPRENEDE_HERMENEGILDE	LACALPRENEDE	1732	tragedie	other	tragedie	other	prose	histoire chrétienne	Cinq actes	1
tc0484	tc0484	LACALPRENEDE_JEANNE	LACALPRENEDE	1638	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0485	tc0485	LACALPRENEDE_MORTMITRHIDATE	LACALPRENEDE	1637	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0486	tc0486	LACALPRENEDE_PHALANTE	LACALPRENEDE	1642	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0487	tc0487	LACHAPELLE_ZAIDE	LACHAPELLE	1681	tragedie	other	tragedie	other	vers	fiction mauresque	Cinq actes	1
tc0496	tc0496	LAFONTAINE_RAGOTIN	LAFONTAINE	1684	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0502	tc0502	LAFOSSE_MANLIUS	LAFOSSE	1698	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0503	tc0503	LAGRANGECHANCEL_AMASIS	LAGRANGECHANCEL	1677	tragedie	other	tragedie	other	vers	histoire égyptienne	Cinq actes	1
tc0504	tc0504	LAGRANGECHANCEL_MELEAGRE	LAGRANGECHANCEL	1677	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0505	tc0505	LAHARPE_COMTEDEWARWICK	LAHARPE	1733	tragedie	other	tragedie	other	vers	histoire anglaise	Cinq actes	1
tc0509	tc0509	LAHARPE_PHILOCTETE	LAHARPE	1733	tragedie	other	tragedie	other	vers	moeurs françaises	Trois actes	1
tc0510	tc0510	LAIGNELOT_AGIS	LAIGNELOT	1782	tragedie	other	tragedie	other	vers	histoire grecque	Cinq actes	1
tc0511	tc0511	LAMOTTE_INESDECASTRO	LAMOTTE	1723	tragedie	other	tragedie	other	vers	histoire portugaise	Cinq actes	1
tc0512	tc0512	LAMOTTE_MACHABEES	LAMOTTE	1722	tragedie	other	tragedie	other	vers	bible	Cinq actes	1
