Enfin	Rg	ENFIN
«	Fw	«
Est	Vvc	Est
-ce	Vvc	-ce
là	Rg	LÀ
,	Fw	,
dira-t-il	Vvc	dira-t-il
,	Fw	,
la	Da	LE
fière	Ag	FIER
Zénobie	Nc	Zénobie
,	Fw	,
Qui	Vvc	Qui
devait	Vvc	DEVOIR
sous	S	SOUS
ses	Ds	SON
lois	Nc	LOI
tenir	Vvn	TENIR
Rome	Vvc	Rome
asservie	Ge	ASSERVIR
?	Fs	?
Voilà	Vvc	Voilà
par	S	PAR
quel	Dt	QUEL
triomphe	Nc	TRIOMPHE
elle	Pp	IL
vient	Vvc	VENIR
se	Pp	IL
venger	Vvn	VENGER
,	Fw	,
Et	Vvc	Et
les	Da	LE
fers	Nc	FER|FERS
qu'	Cs	QUE
aux	S+Da	À+LES
Romains	Nc	ROMAIN
elle	Pp	IL
avait	Vuc	AVOIR
fait	Ge	FAIRE
forger	Vvn	FORGER
!	Fs	!
»	Fw	»
Et	Vvc	Et
,	Fw	,
tandis	Nc	tandis
que	Cs	QUE
mon	Ds	MON
cour	Nc	COUR
dans	S	DANS
les	Da	LE
douleurs	Nc	DOULEUR
se	Pp	IL
noie	Vvc	NAÎTRE|NOYER
,	Fw	,
Je	Vvc	Je
me	Pp	JE
verrai	Vvc	VOIR
l'	Da	LE
objet	Nc	OBJET
de	S	DE
la	Da	LE
publique	Ag	PUBLIC
joie	Nc	JOIE
!	Fs	!
Des	S+Da	DE+LE|DE+LES
vainqueurs	Nc	VAINQUEUR
insultée	Ge	INSULTER
,	Fw	,
aux	S+Da	À+LES
vaincus	Nc	VAINCU
en	S	EN
horreur	Nc	HORREUR
,	Fw	,
Sur	Nc	Sur
moi	Pp	JE
tout	Di	TOUT
l'	Da	LE
univers	Nc	UNIVERS
confondra	Vvc	CONFONDRE
sa	Ds	SON
fureur	Nc	FUREUR
!	Fs	!
Ah	I	AH
!	Fs	!
J'	Pp	JE
en	Pp	EN
frémis	Vvc	FRÉMIR
déjà	Rg	DÉJÀ
;	Fw	;
ma	Ds	MON
vertu	Nc	VERTU
terrassée	Ge	TERRASSER
Succombe	Vvc	SUCCOMBER
sous	S	SOUS
le	Da	LE
poids	Nc	POIDS
d'	S	DE
une	Dn	UN
telle	Ag	TEL
pensée	Nc	PENSÉE
.	Fs	.
Non	Rg	NON
,	Fw	,
je	Pp	JE
ne	Rp	NE
verrai	Vvc	VOIR
point	Rg	POINT
ces	Dd	CE
détestables	Ag	DÉTESTABLE
jours	Nc	JOUR|JOURS
:	Fw	:
Que	Cs	QUE
plutôt	Rg	PLUTÔT
...	Fs	...
Mais	Vvc	Mais
rompons	Vvc	ROMPRE
d'	S	DE
inutiles	Ag	INUTILE
discours	Nc	DISCOURS
:	Fw	:
Écoutons	Vvc	Écoutons
des	Dn	UN
transports	Nc	TRANSPORT|TRANSPORTS
dignes	Ag	DIGNE
de	S	DE
mon	Ds	MON
courage	Nc	COURAGE
;	Fw	;
Mettons	Vvc	METTRE
le	Da	LE
fer	Nc	FER
,	Fw	,
le	Da	LE
feu	Nc	FEU
,	Fw	,
le	Da	LE
poison	Nc	POISON
en	S	EN
usage	Nc	USAGE
,	Fw	,
D'	Nc	D'
autres	Ag	AUTRE
moyens	Nc	MOYEN|MOYENS
encor	Nc	encor
.	Fs	.
Toi	Pp	TU
,	Fw	,
sans	S	SANS
perdre	Vvn	PERDRE
de	S	DE
temps	Nc	TEMPS
,	Fw	,
Va	Vvc	ALLER
,	Fw	,
cours	Nc	COUR|COURS|COURT
à	S	À
Sabinus	Nc	Sabinus
,	Fw	,
dis	Vvc	DIRE
-lui	Pd	-lui
que	Pr	QUE
je	Pp	JE
l'	Pp	IL
attends	Vvc	ATTENDRE
.	Fs	.
Impatients	Ag	IMPATIENT
transports	Nc	TRANSPORT|TRANSPORTS
,	Fw	,
enfants	Nc	ENFANT
de	S	DE
ma	Ds	MON
vengeance	Nc	VENGEANCE
,	Fw	,
Qui	Vvc	Qui
jetez	Nc	JETÉ
dans	S	DANS
mon	Ds	MON
cour	Nc	COUR
un	Dn	UN
rayon	Nc	RAYON
d'	S	DE
espérance	Nc	ESPÉRANCE
,	Fw	,
Que	Vvc	Que
je	Pp	JE
me	Pp	JE
plais	Vvc	PLAIRE
d'	S	DE
entendre	Vvn	ENTENDRE
,	Fw	,
au	S+Da	À+LE
gré	Nc	GRÉ
de	S	DE
ma	Ds	MON
fureur	Nc	FUREUR
,	Fw	,
Murmurer	Vvn	MURMURER
votre	Ds	VOTRE
voix	Nc	VOIX
dans	S	DANS
le	Da	LE
fond	Nc	FOND
de	S	DE
mon	Ds	MON
cour	Nc	COUR
!	Fs	!
Mais	Cc	MAIS
vous	Pp	VOUS
me	Pp	JE
flattez	Vvc	FLATTER
trop	Rg	TROP
,	Fw	,
et	Cc	ET
mon	Ds	MON
âme	Nc	ÂME
